freq,wst_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022
A,RCV_REU,PC,BG	94.1 	95 	95.1 	95.6 	98.8 	95.8 	96.5 	96.6 	96 	95.1
A,RCV_REU,PC,CY	86.6 	90.2 	90.7 	93.2 	91.9 	96.8 	95.8 	97.2 	98.5 	99.1
A,RCV_REU,PC,CZ	86.3 	86.3 	95.7 	95.4 	95.6 	99.3 	97.3 	101.9 	106.1 	121.8
A,RCV_REU,PC,DE	103.8 	101.4 	95.8 	98 	98.4 	95.7 	93.6 	94 	97.5 	93.7
A,RCV_REU,PC,DK	86.7 e	86.1 	97.6 	97.1 	99.6 	98.2 	102.6 	102.3 	93.9 	94.6
A,RCV_REU,PC,EE	86.4 	88.4 	87 	89.8 	89.9 	91.2 	91.9 	91.3 	92.2 	91.5
A,RCV_REU,PC,EL	91.5 	85.5 	68.9 	108 	99.5 	108.3 	77.2 	98.8 	96.9 	88.5
A,RCV_REU,PC,ES	91.5 	93.5 	95 	93.4 	94 	92.6 	92.4 	93.1 	93.2 	93.1
A,RCV_REU,PC,EU27_2020	90.6 i	91.4 	92.8 	92.7 	93.7 	92.9 	95 	94.6 	93.5 i	94.4 i
A,RCV_REU,PC,FI	95 	97.3 	97.3 	97.3 	97.3 	97.3 	95.2 	95.2 	95.2 	95.2
A,RCV_REU,PC,FR	89.3 	91.3 	94.3 	94.8 	94.6 	94.2 	95 	95.7 	95.7 	95.6
A,RCV_REU,PC,HR	100 	96.2 	99.5 	99.5 	99.7 	97.7 	96.7 	97.5 	98.3 	97.1
A,RCV_REU,PC,HU	91.7 	95.6 	95.2 	95.8 	96.9 	95.8 	95.4 	97.7 	97.8 	97.5
A,RCV_REU,PC,IE	91.6 	90.7 	91.8 	92.8 	94.6 	95.2 	95.2 	97.1 	95.7 	95.5
A,RCV_REU,PC,IS	99.6 	97.7 	98.5 	96.8 	97.6 	97.6 	97.4 	92.3 	96.8 	92.2
A,RCV_REU,PC,IT	82.8 	85.1 	84.7 	82.6 	83.2 	82.6 	84.2 	84.9 	84.3 	86
A,RCV_REU,PC,LI	89 	90.6 	90.8 	85.6 	84.7 	85.7 	87.1 	80.3 	85.6 	100
