freq,unit,mot_nrg,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,OTH,LV	: 	: 	211 	140 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,MD	: 	149 	473 	793 	1275 	2840 	3427 	4946 	4385 	6637 	5097 	7404 
A,NR,OTH,ME	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 
A,NR,OTH,MT	: 	4 	39 	4 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,NL	: 	17 	1 	4 	1 	0 	2 	0 	0 	0 	1 	: 
A,NR,OTH,NO	: 	1133 	478 	154 	7 	5 	8 	3 	0 	1 	0 	5 
A,NR,OTH,PL	11 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 
A,NR,OTH,PT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 p
A,NR,OTH,RO	: 	1 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 
A,NR,OTH,SE	: 	3281 	2722 	1396 	888 	1133 	1043 	1187 	28 	1265 	2679 	0 b
A,NR,OTH,SI	: 	: 	114 	237 	431 	1163 	1719 	2462 	3017 	8125 	8963 	0 
A,NR,OTH,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,UA	: 	: 	: 	: 	: 	: 	: 	4 	5 	2 	1 	4 
A,NR,OTH,UK	: 	: 	: 	10 	2 	3 	3 	: 	: 	3 	3 	: 
A,NR,OTH,XK	: 	: 	: 	: 	: 	2 	0 	0 	: 	0 	: 	: 
A,NR,PET,AL	: 	: 	: 	: 	: 	: 	: 	5860 	10336 	9591 	8822 	12476 
A,NR,PET,AT	: 	136689 	128670 	125656 	136148 	171862 	192503 	189054 	133151 	134529 	119271 	130321 
A,NR,PET,BA	: 	1967 	1833 	1825 	2377 	2905 	3347 	3858 	2951 	3723 	4609 	5558 
A,NR,PET,BE	: 	169665 	181524 	198299 	256076 	288484 	347284 	365729 	268148 	262988 	263382 	336741 
A,NR,PET,CH	: 	191314 	187073 	193203 	188679 	195261 	202879 	214640 	160657 	166837 	150952 	165982 
A,NR,PET,CY	: 	5784 	5086 	5917 	7134 	7650 	7857 	8011 	7130 	9071 	10633 	13406 
A,NR,PET,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	141738 	122954 	147244 
A,NR,PET,DE	: 	1502784 	1533726 	1611389 	1746291 	2068741 	2255042 	2298504 	1760071 	1560342 	1520618 	1601700 
A,NR,PET,DK	: 	122644 	127253 	138104 	140938 	143227 	144443 	159630 	138421 b	134993 	101039 	95541 
A,NR,PET,EE	: 	12208 	13054 	14069 	16592 	19177 	19686 	20510 	13164 	16415 	15324 	17358 
A,NR,PET,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	18717 e	18602 	19785 
A,NR,PET,ES	: 	: 	297176 	383904 	496893 	636041 	831810 	874489 	561541 	613097 	598239 	714633 
A,NR,PET,FI	: 	64194 	64181 	69469 	79042 	81435 	89497 	88141 	75765 	76158 	59099 	52225 
A,NR,PET,FR	: 	562849 	623201 	777645 	928357 	1116655 	1329928 	1438898 	1025021 	1097422 	1049065 	1247756 s
A,NR,PET,GE	: 	: 	: 	: 	: 	1968 	2168 	1379 	1379 	2149 	3453 	4663 
A,NR,PET,HR	: 	15245 	16690 	16311 	20490 	20875 	40964 	47453 	: 	23426 	26618 	21040 
A,NR,PET,HU	: 	30458 	37621 	44873 	61753 	78458 	102718 	123906 	93177 	89975 	85461 	79969 p
A,NR,PET,IE	: 	19892 	21067 	35311 	41160 	45304 	56554 	62554 	46630 	58808 	59687 	66013 
A,NR,PET,IS	: 	: 	: 	: 	: 	13645 	12061 	8233 	5706 	8949 	: 	: 
A,NR,PET,IT	: 	419045 	420708 	521450 	643165 	700072 	774685 	969245 	773479 	906634 	833735 	1014551 
A,NR,PET,LI	: 	1041 	979 	1072 	951 	1116 	1152 	1186 	922 	977 	890 	958 
A,NR,PET,LT	: 	5236 	4760 	6002 	8734 	11162 	14224 	17917 	32922 	21892 	19072 	20520 
A,NR,PET,LU	: 	: 	: 	: 	: 	: 	: 	30120 	24548 	25132 	23339 	27804 
A,NR,PET,LV	: 	: 	5759 	7211 	9381 	9488 	10240 	11393 	8363 	9935 	11857 	12702 
A,NR,PET,MD	: 	15126 	9874 	6530 	6770 	12395 	8608 	8884 	7749 	10409 	8090 	10793 
A,NR,PET,ME	: 	: 	: 	: 	999 	1313 	1625 	2026 	596 	1787 	2456 	: 
A,NR,PET,MT	: 	: 	: 	4418 	4679 	5133 	5477 	5327 	3342 	4226 	4933 	5218 
A,NR,PET,NL	: 	307912 	275419 	314882 	304643 	331608 	360573 	350014 	267482 	249350 	231796 	249608 
A,NR,PET,NO	: 	57700 	54912 	55671 	82910 	90074 	78323 	59964 	52595 	54209 	30186 	20999 
A,NR,PET,PL	399195 	185427 b	156870 s	231619 s	279656 s	344340 s	400747 s	439677 s	334136 s	322308 s	298162 s	300895 s
A,NR,PET,PT	: 	: 	: 	: 	: 	81073 	97697 	123064 	83561 	91395 	100758 	123422 p
A,NR,PET,RO	: 	25807 	29576 	35509 	45417 	51554 	75586 	114564 	79244 	74857 	84943 	91118 
A,NR,PET,RS	: 	: 	: 	: 	: 	: 	: 	: 	13229 	14868 	14433 	: 
A,NR,PET,SE	: 	108067 	126019 	145383 	177903 	191048 	215360 	221280 	194265 	189502 	153387 	146412 
A,NR,PET,SI	: 	23942 	23916 	29038 	31429 	38229 	48240 	47937 	31529 	31245 	25989 	36290 
A,NR,PET,TR	: 	256506 	210168 	270762 	271453 	259325 	179131 	152008 	319023 	429210 	439007 	704254 
A,NR,PET,UA	: 	: 	: 	: 	: 	: 	: 	36953 	57137 	73470 	25663 	36953 
A,NR,PET,UK	: 	: 	: 	1334875 	1390355 	1446500 	1589618 	: 	: 	1226293 	1194409 	: 
A,NR,PET,XK	: 	: 	: 	: 	: 	2928 	2126 	0 	: 	2840 	: 	: 
A,NR,PET_X_HYB,AL	: 	: 	: 	: 	: 	: 	: 	5726 	5580 	9168 	8294 	11605 
A,NR,PET_X_HYB,AT	: 	134276 	126503 	122832 	131756 	163701 	184150 	176706 	107771 	91478 	78567 	77354 
A,NR,PET_X_HYB,BA	: 	1967 	1831 	1823 	2321 	2769 	3220 	3667 	2800 	3408 	4154 	4635 
A,NR,PET_X_HYB,BE	: 	164745 	173939 	189947 	240384 	265026 	323774 	336731 	211646 	169019 	145998 	155993 
A,NR,PET_X_HYB,CH	: 	185120 	180908 	185525 	178730 	183697 	188357 	192156 	119012 	100865 	86309 	85254 
A,NR,PET_X_HYB,CY	: 	5700 	4978 	5715 	6753 	6891 	6874 	6959 	5706 	5997 	6380 	7279 
A,NR,PET_X_HYB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	138660 	119663 	140752 
A,NR,PET_X_HYB,DE	: 	: 	: 	: 	: 	1986488 	2142700 	2136891 	1361723 	972588 	863445 	978660 
A,NR,PET_X_HYB,DK	: 	122644 	127172 	137698 	140371 	142607 	141318 	155863 	120674 	95676 	75445 	78594 
A,NR,PET_X_HYB,EE	: 	12017 	12746 	13718 	15821 	17991 	18174 	17928 	10582 	10817 	9029 	8915 
A,NR,PET_X_HYB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	17004 e	17047 	17691 
A,NR,PET_X_HYB,ES	: 	: 	288860 	376691 	466320 	580296 	756357 	776373 	427645 	390081 	344341 	390295 
A,NR,PET_X_HYB,FI	: 	: 	61733 	66252 	73258 	70522 	73069 	67751 	45596 	30760 	19246 	15261 s
A,NR,PET_X_HYB,FR	: 	530054 	589522 	736108 	874838 	1034534 	1224694 	1322937 	802718 	700919 	611179 	672749 
A,NR,PET_X_HYB,GE	: 	: 	: 	: 	: 	1770 	1964 	961 	961 	1457 	2617 	3233 
A,NR,PET_X_HYB,HR	: 	: 	: 	16311 	20490 	20875 	40964 	47453 	: 	23426 	19149 	21040 
A,NR,PET_X_HYB,HU	: 	29966 	37103 	44044 	59943 	74498 	96555 	114709 	62301 	45561 	44330 	35051 p
A,NR,PET_X_HYB,IE	: 	: 	: 	: 	: 	40495 	48840 	50318 	33595 	34000 	32095 	38746 
A,NR,PET_X_HYB,IS	: 	: 	: 	: 	: 	10426 	8411 	5379 	2551 	2250 	: 	: 
A,NR,PET_X_HYB,IT	: 	419045 	420708 	521450 	643165 	700072 	774685 	889685 	585470 	481746 	376485 	456263 
A,NR,PET_X_HYB,LI	: 	1000 	944 	1017 	889 	1032 	1046 	1047 	659 	583 	514 	531 
A,NR,PET_X_HYB,LT	: 	5191 	4676 	5908 	8499 	10661 	11920 	14717 	24924 	12407 	10323 	9966 
A,NR,PET_X_HYB,LU	: 	: 	: 	: 	: 	: 	: 	27837 	19589 	16839 	14559 	16307 
A,NR,PET_X_HYB,LV	: 	: 	5758 	7202 	9363 	9471 	10222 	11379 	8285 	9788 	11556 	6841 
A,NR,PET_X_HYB,ME	: 	: 	: 	: 	999 	1297 	1600 	1998 	562 	1650 	1681 	: 
A,NR,PET_X_HYB,MT	: 	: 	: 	4370 	4560 	4908 	4955 	4612 	2701 	2686 	2411 	2525 
A,NR,PET_X_HYB,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	112416 
A,NR,PET_X_HYB,NO	: 	: 	: 	: 	45894 	42492 	36392 	23294 	11753 	3760 	2284 	2714 
A,NR,PET_X_HYB,PL	: 	183558 s	152983 s	225919 s	269556 s	327140 s	376447 s	397777 s	272236 s	236168 s	204899 s	198100 
A,NR,PET_X_HYB,PT	: 	: 	: 	: 	: 	74357 	87083 	109847 	63916 	62883 	66058 	72281 p
A,NR,PET_X_HYB,RO	: 	25617 	29362 	408 	44422 	49664 	71873 	107810 	66110 	47813 	53298 	51034 
A,NR,PET_X_HYB,SE	: 	102849 	116519 	131576 	155318 	157794 	173813 	169199 	94448 	68405 	46962 	60582 
A,NR,PET_X_HYB,SI	: 	23942 	23916 	29038 	31429 	38229 	48240 	47937 	31529 	31245 	25989 	25198 
A,NR,PET_X_HYB,TR	: 	256479 	210141 	270634 	271315 	258940 	175515 	139898 	300676 	380973 	396912 	625501 
A,NR,PET_X_HYB,UA	: 	: 	: 	: 	: 	: 	: 	28689 	52907 	65235 	21775 	28689 
A,NR,PET_X_HYB,UK	: 	: 	: 	1276159 	1313385 	1342152 	1459764 	: 	: 	891232 	801434 	: 
A,NR,PET_X_HYB,XK	: 	: 	: 	: 	: 	2928 	2030 	0 	: 	2615 	: 	: 
