freq,unit,mot_nrg,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,DIE,UA	: 	: 	: 	: 	: 	: 	: 	18351 	29605 	31099 	10768 	18351 
A,NR,DIE,UK	: 	: 	: 	1257152 	1264307 	1049086 	736172 	: 	: 	223460 	151936 	: 
A,NR,DIE,XK	: 	: 	: 	: 	: 	16568 	7714 	22587 	: 	24300 	: 	: 
A,NR,DIE_X_HYB,AL	: 	: 	: 	: 	: 	: 	: 	33041 	32906 	42736 	36189 	46857 
A,NR,DIE_X_HYB,AT	: 	180901 	172381 	179822 	188820 	175458 	140111 	126311 	90909 	58263 	48115 	46568 
A,NR,DIE_X_HYB,BA	: 	4049 	4096 	3835 	4930 	5123 	5027 	4674 	3473 	3363 	2948 	3007 
A,NR,DIE_X_HYB,BE	: 	318951 	303212 	303345 	284352 	258956 	201023 	173704 	137015 	82566 	54759 	39275 
A,NR,DIE_X_HYB,CH	: 	118801 	116590 	131679 	129819 	118518 	94748 	85105 	58947 	41406 	33849 	31391 
A,NR,DIE_X_HYB,CY	: 	1255 	3184 	4157 	5327 	5450 	5264 	4532 	3065 	1460 	541 	443 
A,NR,DIE_X_HYB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	56111 	45786 	54049 
A,NR,DIE_X_HYB,DE	: 	: 	: 	: 	: 	1336776 	1111130 	1152733 	819896 	524446 	472274 	486581 
A,NR,DIE_X_HYB,DK	: 	57435 	59544 	64203 	80211 	77492 	72474 	60362 	45807 	25520 	16592 	14987 
A,NR,DIE_X_HYB,EE	: 	7341 	7723 	6949 	6392 	6408 	6454 	6180 	4863 	4251 	3336 	2867 
A,NR,DIE_X_HYB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	49670 e	47152 	56259 
A,NR,DIE_X_HYB,ES	: 	: 	590198 	658725 	725953 	690523 	572154 	440448 	305013 	224708 	170932 	143811 
A,NR,DIE_X_HYB,FI	: 	: 	41278 	38800 	39452 	36062 	28712 	20873 	12778 	8397 	5420 	3890 s
A,NR,DIE_X_HYB,FR	: 	1168194 	1119954 	1070443 	1027912 	1013099 	856583 	761198 	513168 	354949 	241783 	172885 
A,NR,DIE_X_HYB,GE	: 	: 	: 	: 	: 	680 	1242 	994 	994 	1358 	1760 	1514 
A,NR,DIE_X_HYB,HR	: 	: 	: 	56807 	74421 	71385 	97276 	98343 	: 	8904 	7788 	9219 
A,NR,DIE_X_HYB,HU	: 	25769 	30219 	32265 	34688 	37022 	32408 	31221 	27711 	19092 	14322 	12650 p
A,NR,DIE_X_HYB,IE	: 	: 	: 	: 	: 	87640 	70732 	59879 	41134 	37772 	29803 	25938 
A,NR,DIE_X_HYB,IS	: 	: 	: 	: 	: 	10957 	7978 	4046 	: 	1923 	: 	: 
A,NR,DIE_X_HYB,IT	: 	707641 	757895 	887074 	1058886 	1130434 	1000494 	779857 	485245 	343952 	261466 	275753 
A,NR,DIE_X_HYB,LI	: 	857 	796 	934 	984 	846 	634 	621 	371 	251 	200 	176 
A,NR,DIE_X_HYB,LT	: 	7019 	6879 	7690 	7587 	7865 	7210 	7260 	7037 	3806 	2389 	2739 
A,NR,DIE_X_HYB,LU	: 	: 	: 	: 	: 	: 	: 	23022 	16628 	11194 	9236 	7930 
A,NR,DIE_X_HYB,LV	: 	: 	7029 	6923 	7287 	7445 	6807 	6893 	4870 	3923 	2606 	2700 
A,NR,DIE_X_HYB,MD	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,NR,DIE_X_HYB,ME	: 	: 	: 	: 	1288 	: 	1599 	1164 	500 	1181 	699 	: 
A,NR,DIE_X_HYB,MT	: 	: 	: 	2709 	2601 	2613 	2409 	2074 	1036 	528 	406 	623 
A,NR,DIE_X_HYB,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4068 
A,NR,DIE_X_HYB,NO	: 	: 	: 	: 	52313 	42015 	32340 	26871 	17331 	9576 	6968 	3169 
A,NR,DIE_X_HYB,PL	: 	102026 s	120616 s	118900 s	131300 s	135100 s	130700 s	110600 s	80900 s	54500 s	46500 s	46800 
A,NR,DIE_X_HYB,PT	: 	: 	: 	: 	: 	138712 	123326 	89376 	47564 	31766 	27881 	23900 p
A,NR,DIE_X_HYB,RO	: 	31481 	39774 	44861 	48591 	53979 	53239 	43365 	33826 	20393 	16413 	16322 
A,NR,DIE_X_HYB,SE	: 	175422 	188028 	206377 	201040 	191059 	137387 	117760 	54132 	27184 	18379 	24115 
A,NR,DIE_X_HYB,SI	: 	: 	29763 	31031 	32589 	32410 	23877 	21499 	16918 	11743 	7739 	7355 
A,NR,DIE_X_HYB,TR	: 	383904 	364241 	462119 	460781 	457060 	320349 	211027 	246016 	144640 	101808 	153675 
A,NR,DIE_X_HYB,UA	: 	: 	: 	: 	: 	: 	: 	15805 	28777 	28817 	9614 	15805 
A,NR,DIE_X_HYB,UK	: 	: 	: 	1253393 	1262512 	1047685 	735720 	: 	: 	188492 	122987 	: 
A,NR,DIE_X_HYB,XK	: 	: 	: 	: 	: 	16564 	7686 	22587 	: 	24003 	: 	: 
A,NR,ELC,AL	: 	: 	: 	: 	: 	: 	: 	24 	239 	262 	624 	1671 
A,NR,ELC,AT	: 	654 	1281 	1677 	3826 	5433 	6757 	9242 	15972 	33366 	34165 	47621 
A,NR,ELC,BA	: 	0 	0 	1 	0 	7 	3 	13 	8 	28 	33 	135 
A,NR,ELC,BE	: 	501 	1167 	1360 	2061 	2717 	3763 	8892 	15044 	22774 	37760 	93482 
A,NR,ELC,BG	: 	0 s	0 s	10 s	11 s	13 s	145 s	188 s	277 s	550 s	1021 s	1754 s
A,NR,ELC,CH	: 	1393 	1948 	3882 	3525 	4929 	5349 	13177 	19753 	32025 	40518 	52947 
A,NR,ELC,CY	: 	8 	1 	4 	7 	18 	5 	58 	42 	78 	401 	788 
A,NR,ELC,CZ	: 	33 s	58 s	312 s	210 s	376 s	731 s	778 s	3264 s	3172 	3786 	6567 
A,NR,ELC,DE	: 	6051 	8522 	12363 	11410 	25056 	36062 	63281 	194163 	355961 	470559 	524219 
A,NR,ELC,DK	: 	533 	1564 	1265 	1265 	691 	1544 	5501 	14218 	24876 	30799 	62586 
A,NR,ELC,EE	: 	130 	331 	30 	32 	26 	83 	77 	344 	487 	693 	1448 
A,NR,ELC,EL	: 	2 	38 	32 	20 	37 	77 	188 	678 s	2174 e	2826 	6377 
A,NR,ELC,ES	: 	936 s	1004 	2620 	2085 	4038 	6238 	10415 	18217 	24400 	31737 	55388 
A,NR,ELC,EU27_2020	: 	21908 	30892 	46641 	53544 	83778 	134506 	250082 	539027 	885298 	1129785 	1547212 
A,NR,ELC,FI	: 	50 	183 	243 	223 	502 	776 	1897 	4245 	10153 	14531 	29537 
A,NR,ELC,FR	: 	8781 	10567 	17269 	21758 	25368 	31687 	43564 	112499 	165566 	207171 	303612 
A,NR,ELC,GE	: 	: 	: 	: 	: 	83 	21 	22 	22 	43 	206 	245 
A,NR,ELC,HR	: 	3 	47 	80 	66 	55 	182 	279 	639 	1121 	1062 	1125 
A,NR,ELC,HU	: 	10 	32 	116 	176 	749 	1300 	1834 	3047 	4313 	4707 	6049 p
A,NR,ELC,IE	: 	49 	194 	494 	402 	631 	1252 	3665 	4075 	9199 	15872 	22493 
A,NR,ELC,IS	: 	: 	: 	: 	: 	845 	784 	1090 	2551 	4246 	5567 	9260 
A,NR,ELC,IT	: 	846 s	1155 s	1576 s	1497 s	2109 s	5198 s	10612 	30930 	69178 	48960 	65800 
A,NR,ELC,LI	: 	14 	18 	30 	46 	57 	48 	97 	164 	292 	317 	338 
A,NR,ELC,LT	: 	2 	8 	26 	62 	43 	141 	175 	480 	1277 	1507 	2210 
A,NR,ELC,LU	: 	0 s	25 s	45 s	162 s	371 s	492 s	986 	2473 	4649 	6391 	11048 
A,NR,ELC,LV	: 	0 s	174 	17 	19 	41 	78 	116 	351 	480 	1069 	1629 
A,NR,ELC,MD	: 	0 	1 	13 	14 	37 	42 	185 	211 	396 	729 	1012 
A,NR,ELC,ME	: 	: 	: 	: 	: 	4 	1 	: 	: 	: 	: 	: 
A,NR,ELC,MT	: 	18 	30 	23 	19 	24 	285 	281 	178 	416 	990 	1516 
A,NR,ELC,NL	: 	2619 	2912 	3193 	3988 	7958 	23985 	61547 	72858 	63658 	73249 	113896 
A,NR,ELC,NO	: 	7885 	18091 	25779 	24222 	33023 	46091 	60271 	82212 	116399 	142504 	106309 
A,NR,ELC,PL	: 	26 s	81 s	112 s	157 s	508 s	694 s	1464 s	3673 s	7092 s	11293 s	17100 
A,NR,ELC,PT	: 	167 s	198 s	692 s	820 s	1912 	4458 	6880 	7908 	13546 	18426 	36456 p
A,NR,ELC,RO	: 	37 	17 	28 	69 	232 	604 	1506 	2844 	6344 	11638 	15367 
A,NR,ELC,SE	: 	452 	1266 	2916 	2993 	4359 	7147 	15795 	27981 	57590 	95371 	112321 
A,NR,ELC,SI	: 	0 s	13 	123 	151 	297 	521 	695 	1720 	1742 	2293 	4306 
A,NR,ELC,SK	: 	0 s	24 s	15 s	55 s	214 s	301 s	166 s	907 s	1136 s	1508 s	2517 s
A,NR,ELC,TR	: 	180 	63 	154 	77 	117 	206 	228 	1617 	3575 	8312 	65558 
A,NR,ELC,UA	: 	: 	: 	: 	: 	: 	: 	7261 	641 	1210 	2255 	7261 
A,NR,ELC,UK	: 	: 	: 	10063 	10544 	13727 	15579 	: 	: 	188143 	263197 	: 
A,NR,ELC,XK	: 	: 	: 	: 	: 	2 	1 	0 	: 	20 	: 	: 
A,NR,ELC_DIE_HYB,AL	: 	: 	: 	: 	: 	: 	: 	23 	47 	178 	334 	583 
A,NR,ELC_DIE_HYB,AT	: 	130 	90 	518 	169 	43 	1008 	4112 	7848 	12519 	12620 	13925 
A,NR,ELC_DIE_HYB,BA	: 	0 	1 	0 	2 	0 	1 	11 	8 	22 	110 	129 
A,NR,ELC_DIE_HYB,BE	: 	912 	741 	2493 	1301 	834 	1249 	6012 	14955 	21348 	15800 	11580 
